 俄罗斯大学校规:和非洲留学生交往的女生，开除山东大学 @山东大学 _ 	0
 山东大学谁敢去啊？去跟黑鬼和亲嘛？@李不白的微博压力山大 _	0
 天津城建大学封闭管理为何封闭管理？为何教职工出入自由？为何留学生出入自由？为何天津高校没有统一的管理原则，其他学校测温城建大学封闭？为何教育部下达全面恢复正常教学秩序而城建大学一意孤行进行封闭管理？且不谈校园物价上涨，如果学生群体出现问题后果怎样舆论怎样，好好考虑尽快解除封闭正常测温自由出入学校@天津8890 @大学生迷惑行为 @天津城建大学 @天津城建大学学工部	0
 天津城建大学封闭管理管理人员没脑子，懒政，怕担责，食堂除了赚钱啥也不想，留学生、老师随意进出，除了中国学生和狗不得出校门 _	0
 【南非小伙：我在人民大会堂见到了偶像张文宏！】还记得南非小伙阿乐吗？他是温州医科大学的留学生Brett Lyndall Singh中文名叫辛成乐大家都亲切地叫他“阿乐”2020年初新冠肺炎疫情席卷全球阿乐放弃休假选择留下和中国人民一起坚守战“疫”期间他不仅向全世界介绍了中国抗疫经验还通过各大社交平台、媒体平台积极发声分享个人防护知识此外他还发动留学生朋友踊跃向温州捐款捐物阿乐的抗疫事迹被多家媒体宣传报道中国驻南非大使林松添在社交媒体上转发相关报道并为他点赞一直以来阿乐有一个“偶像”——上海复旦大学附属华山医院感染科主任上海市新冠肺炎医疗救治专家组组长张文宏教授此前阿乐曾在温州广电中心亲自参与张文宏教授的节目录制这几天阿乐告诉中国好故事一个好消息他“追星”成功了！9月8日全国抗击新冠肺炎疫情表彰大会在人民大会堂隆重举行阿乐作为在抗疫过程中做出贡献的外籍志愿者代表来到北京参加表彰大会他终于面对面见到了张文宏教授本人还成功与“偶像”握手这让他激动万分表彰大会结束后中国好故事邀请阿乐谈了谈他本次北京之行的心情戳图一起看！中国好故事 	1
 //@意动天:西方垄断资本集团的最邪恶的《凯乐奇计划》，这种迹象已很明显了…… 花大钱——引进劣质的人才计划（低素质留学生，山东大学都在二配一）…… 而只需要几十年以上的时间——统统变成“杂种”…… 国内腐败的权贵利益集团胡作非为，为了自身利益——在出卖大众基本的生存利益，已经不择手@一个院长的思考 看看这个视频，听听有无道理。 L一个院长的思考的微博视频 _ 	0
 “国防七子”，包括西北工业大学、哈尔滨工程大学、哈尔滨工业大学、北京航空航天大学、南京航空航天大学、北京理工大学、南京理工大学。O千名中国留学生签证被撤！“国防七子”与北邮受影响最大 _	1
 东华大学本人住松江校区旧宿舍楼 宿舍条件不好不坏 围观了很久 想不偏不倚的说一下自己的想法看到很多同学说对学校很失望但我不知道大家失望的点是因为不公平还是因为留学生如果说是因为不公平 那我觉得 学校一直在发展 发展是一个循序渐进的过程 过程当中怎么能做到绝对的公平 如果是因为留学生 那大可不必 全中国的高校都是这样的情况 山东大学985都这样 我们又何必为难东华呢？能理解宿舍条件不好的同学心里肯定不好受 但学校也有学校的不得已 没必要 真没必要	0
 【取经之旅，老山边境的非洲来客】麻栗坡是新中国成立以来，经历战争时间最长、牺牲奉献最大、创伤损失最重的地方，上世纪80年代，麻栗坡人民与英勇的子弟兵共同铸就了“不怕死、不怕亏、不怕苦”的“老山精神”，留下许多感人的故事。这里也是外交部28年来坚持定点扶贫的国家级贫困县之一。9月7日，北京周报《中国与非洲》记者团，携手三名中国传媒大学非洲留学生特邀嘉宾，探秘这片大山深处的土地。（来源：北京周报）O网页链接 	0
 救救孩子们吧@四川教育发布 @南充市场监管 @西华师范大学@大学声bot 学生吐槽：西华师范大学实行封闭管理 有 西华师范大学 的学生称，学校实行封闭管理，但有学生表示教职工、留学生可以外出。此外，有学生称学校禁止叫外卖，学生在学校里遇到了物价上涨，食堂饭菜有异物等 _ 	0
 【保研派推免官方QQ交流群：635623724 ；全天答疑，免费定位 】三峡大学坐落于“世界水电之都”宜昌市，是经国家教育部批准，由原武汉水利电力大学(宜昌)和原湖北三峡学院于2000年5月25日合并组建。学校具有学士、硕士、博士学位授予权和留学生及港澳学生招生资格，1996年开始举办硕士研究生教育，1998年开始培养博士研究生。学校是国家水利部和湖北省人民政府共建大学，是教育部“卓越工程师教育培养计划”高校。2018年，学校被省人民政府列为“国内一流大学建设高校”，水利工程、土木工程、电气工程等3个学科被列为“国内一流学科建设学科”。目前，三峡大学已成为水利电力特色与优势比较明显、综合办学实力较强、享有一定社会声誉的综合性大学。三峡大学 保研 推免 O三峡大学接收2021级推荐免试硕士研究生招生简章	1
 //@华夏近卫军://@王者风范2099:作为一个有很多山东人朋友的，你们这些年发生的一些事儿，真的让人犯恶心啊？犯贱么？@山东大学 @山东发布 @山东公安 @山东高法 @山东省人民检察院 @文旅山东 @青岛大学 @山东省教育厅 @文化山东 @山东政务 //@拨云见日青天:说明山东治安差吗要不要给留学@西部发展资讯 山东又火了，专门派出警察姐姐亲自教黑人留学生防身术。。。。。。 L西部发展资讯的微博视频 _ 	0
 江苏师范大学的外国留学生太幸福了只要不翘课，只要所有课都及格，就可以拿奖学金呢，而且名额是无限的陶医生想问：这是谁的国？ _ 	0
 大学解封我每天都会声讨，为贵州大学生发声，直到什么时候解封，贵州的大学生获得作为一名中国公民依法应当享有的人身自由权利为止。真是讽刺。领导可以享有，家长可以享有，外国留学生可以享有，猫狗之类的动物也可以享有，就大学生不配享有，不配拥有，贵州财大某校区更是可笑的在墙上加了铁丝网，要不要教学楼弄上铁窗，寝室再加上电网？是不是来坐牢？拿着学生家长辛辛苦苦赚的血汗钱交的学费，修特么铁丝网来关学生。彳亍，可真行。这次疫情真的暴露出了太多问题。学费呢？钱呢？钱交了之后食堂涨价了，吃饭没有一次性餐盒了，留学生随意进出了，学生“蹲监”了，大家都有光明的未来？？	0
 河北大学什么时候可以解封？要封闭到什么时候？这种假闭环有用吗？形式主义有用吗？留学生随意出入，教职工随意出入，大爷大妈随意出入，学生禁止出入，还要层层审批。我来的是监狱还是大学？ 不要忙着打卡了，想想自己封闭一学期，中秋不能回家，你还有心思打卡呢？ _	0
在路上遇到一位上海交通大学读书的巴基斯坦留学生。由于前久中印边界关系上有摩擦，自然就谈到了巴基斯坦对此的态度。他个人认为，中国是巴基斯坦的好朋友，巴基斯坦重视与中国的友谊。印度是巴基斯坦的邻国，两国以前也有几次规模较大的冲突。对于边界冲突的问题，他希望通过谈判来解决争端。他认为战争的代价太大。	1
 外国人什么时候可以入境有没有哈尔滨工程大学的韩国留学生回来的了? _	1
 封校后的大学生周末有西华师范大学的学生吐槽，学校实行封闭管理，但有学生表示教职工、外国留学生可以自由外出。搞形式主义…封闭又封闭不完？难道教职工和外国留学生自带抗体还是说他们遗传基因要好点不会被传染？此外，有学生称学校禁止叫外卖，学生在学校里遇到了物价上涨，食堂饭菜有异物等 _	0
 你们学校的香港留学生？无知自大狂出新天地了@浙江大学 _ 	0
 →_→//@徐花露水2:我想先去非洲搬砖，然后娶个当地老婆，户口转移到非洲，然后再申请山东大学，3个学伴………我是不是喝多了？哈哈哈@阿三印象有个女网友说：我可不愿意把自己闺女往火坑里推！ _	0
 尼好//@EVER-THING:洋人小哥骑电动车自由进出校门 评论配图@大学声bot 学生吐槽：西华师范大学实行封闭管理 有 西华师范大学 的学生称，学校实行封闭管理，但有学生表示教职工、留学生可以外出。此外，有学生称学校禁止叫外卖，学生在学校里遇到了物价上涨，食堂饭菜有异物等 _ 	0
 转文摘要：许可馨 曾经说过：“三天就可以息事宁人，民众就会得了失忆症，什么都不记得。”，但这只能是许可馨的一厢情愿，网友不会同意“息事宁人”的结果，他们一定会要求提供事件的调查结果，并将处理结果公之于众。许可馨事件最新消息打卡许可馨不许苏州变许州 《许可馨在网上公开承认是国家资助的留学生》许可馨小姐姐是否为政府资助的留学生，前段时间在互联网上成为热门话题，在此之前，许可馨本科中国药科大学曾发表声明称，某学生毕业后应自费出国留学。O网页链接 	0
